Street Address,Latitude,Longitude
0 161 STREET & RIVER AVENUE,40.819225,-73.920731
0 200 STREET & SOUTHERN BLVD,40.864941,-73.884903
0 44 DRIVE FOOT E.RIVER,40.745695,-73.936058
0 5 AVE & 42 STR,40.753158,-73.981132
0 BATTERY PARK,40.744585,-73.974468
0 BOARDWALK AT W 8 STREET,40.577002,-73.986038
0 CENTRAL PARK WEST,14.66772,-91.52335
0 CENTRAL TAXI HOLD,40.635351,-73.791962
0 CENTRAL TERMINAL,40.752516,-73.972672
0 CENTRAL TERMINAL BLD 1,30.029455,31.34577
0 CENTRAL TERMINAL BLDG,40.785006,-73.877445
0 CHELSEA PIERS,40.750014,-74.008464
0 CHELSEA PIERS - PIER 61,40.750014,-74.008464
0 CHELSEA PIERS/PIER 61,40.742371,-74.004063
0 CONCOURSE B,40.785006,-73.877445
0 E 72ST CENTRAL PK DRIVE NORTH,40.758375,-73.966583
0 E WEST FOOD COURT,40.785006,-73.877445
0 EAST 27 STREET,40.62528,-73.949509
0 FLUSHING MEADOW PARK,40.708126,-73.830025
0 GRAND CENTRAL STATION,40.752516,-73.972672
0 GRAND CENTRAL STATION TERMINAL,40.752516,-73.972672
0 GRAND CENTRAL TERMINAL,40.752103,-73.977601
0 GRAND CENTRAL TRML LOWER,40.752516,-73.972672
0 GREELEY SQUARE,40.748655,-73.988104
0 HERALD SQUARE PARK,40.750839,-73.999413
0 HUNTS POINT,40.804276,-73.885609
0 INSIDE CENTRAL PARK,40.764431,-73.962467
0 INSIDE CENTRAL PARK/LASKER RINK,40.764431,-73.962467
0 J.F.K. AIRPORT,40.635351,-73.791962
0 JFK AIRPORT,40.635351,-73.791962
0 JFK DELTA AIRLINES,40.660025,-73.738014
0 JFK INTERNATIONA AIRPORT,40.635351,-73.791962
0 JFK INTERNATIONAL AIRPOR,40.635351,-73.791962
0 JFK INTERNATIONAL AIRPORT,40.635351,-73.791962
0 JFK INTERNATIONATION AIRPORT,40.635351,-73.791962
0 JFK INTL AIRPORT,40.635351,-73.791962
0 JFK INT'L AIRPORT,not found,not found
0 JFK INTL AIRPORT-AA TERM 9,40.635351,-73.791962
0 JFK INTL. AIRPORT,40.635351,-73.791962
0 JOHN F KENNEDY INTL AIRPORT,40.635351,-73.791962
0 JOHN F. KENNEDY INTL AIR,40.635351,-73.791962
0 JOHN F. KENNEDY INTL AIRPORT,40.635351,-73.791962
0 LA GUARDIA AIRPORT,40.764065,-73.871445
0 LAGUARDIA AIRPORT,40.764065,-73.871445
0 LAGUARDIA AIRPORT BLDG,40.785006,-73.877445
0 LAGUARDIA AIRPORT TERMINAL,40.785006,-73.877445
0 LAGUARDIA AIRPORT US AIR,40.764065,-73.871445
0 LAGUARDIA AIRPORT US AIR TERM,40.785006,-73.877445
0 LGA,40.785006,-73.877445
0 LINCOLN CENTER PLAZA,40.771763,-73.983242
0 MADISON SQUARE PARK,40.73802,-73.982857
0 MTA BRIDGES & TUNNELS,40.7756,-73.942696
0 NORTH MEADOW RECREATON CTR,40.776363,-73.955582
0 NY JFK INTERNATIONAL AIR,40.660025,-73.738014
0 NY JFK INTERNATIONAL AIRPORT,40.660025,-73.738014
0 PENN PLAZA,40.751838,-73.992606
0 PENN STATION,40.750839,-73.999413
0 PIER 78 WEST 38 STREET,40.756458,-73.9972
0 TERMINAL 1 JFK AIRPORT,-23.957805,-46.223825
0 TERMINAL 5,40.635351,-73.791962
0 TERMINAL ONE JFK AIRPORT,-23.957805,-46.223825
0 TERMINAL ONE/JFK AIRPORT,40.635351,-73.791962
0 UNIVERSITY AVENUE,40.85525,-73.910719
0 VAM CORTLANDT PARK SOUTH,40.900215,-73.903481
0 WEST 96 STREET,40.73139,-73.98439
0 WHITEHALL FERRY TERMINAL,40.746725,-73.711941
1 5 AVENUE,40.731922,-73.996573
1 BATTERY PARK PLAZA,40.703598,-74.013754
1 BAY STREET,40.642295,-74.075181
1 BEARD ST,40.67229,-74.011183
1 BLEECKER STREET,40.725264,-73.992323
1 BOUCK COURT,40.588726,-73.974024
1 BROADWAY FL 2ND,40.7049,-74.014031
1 BROOKDALE PLAZA,40.654576,-73.912816
1 BRUCKNER BLVD,40.808204,-73.930468
1 BRYANT PARK,40.754178,-73.982594
1 CARDINAL SPELLMAN PL,40.882533,-73.839947
1 CENTRAL PARK WEST,40.768463,-73.981574
1 CENTRE STREET,40.712911,-74.004305
1 CHASE MANHATTAN PLAZA,40.707483,-74.009828
1 CHASE MANHATTAN PLZ FL 47TH,40.707483,-74.009828
1 CITY ISLAND AVE,40.837641,-73.78292
1 CITY ISLAND RD,40.859345,-73.800483
1 CORSON AVE,40.638273,-74.078914
1 COURT SQUARE,40.746708,-73.943467
1 DOYERS STREET,40.714077,-73.99767
1 EAST 118 STREET,40.801899,-73.945312
1 EAST 161 STREET,40.829245,-73.928601
1 EAST 60 STREET,40.764802,-73.97234
1 EAST 66 STREET,40.76864,-73.969779
1 EAST 91 STREET,40.784649,-73.957902
1 EAST BEDFORD PARK BOULEVARD,40.873336,-73.889256
1 EAST BROADWAY,40.713639,-73.997901
1 EAST MT EDEN AVENUE,40.844342,-73.914701
1 EXCHANGE PLZ,40.706819,-74.012595
1 FRONT ST,40.702462,-73.993198
1 GREENE AVENUE,40.685829,-73.973064
1 HANOVER SQ,40.704724,-74.009671
1 HERALD CENTER,40.749947,-73.987912
1 HUDSON ST,40.71558,-74.009247
1 INTREPID SQ FL 2,40.759525,-73.990177
1 IRVING PLACE,40.734086,-73.988708
1 JANE STREET,40.738138,-74.00225
1 JFK INTEL,not found,not found
1 JFK INTERN AIRPORT,not found,not found
1 JFK INTERNATIONL AIRPORT,40.635351,-73.791962
1 JFK INTL AIRPORT,40.635351,-73.791962
1 LIBERTY PLZ FL 39,40.709423,-74.011081
1 LISPENARD ST,40.720564,-74.005031
1 LITTLE WEST 12 STREET,40.73946,-74.005993
1 MADISON AVE LBBY 1,40.741001,-73.987946
1 MADISON AVENUE,40.741001,-73.987946
1 MAIN STREET,40.703777,-73.990645
1 MARGARET CORBIN DR,40.863464,-73.932336
1 METROTECH CENTER NORTH,40.693175,-73.987226
1 METROTECH CTR FL 2ND,40.6926,-73.987256
1 NEW YORK PLAZA,40.702362,-74.011342
1 NEW YORK PLZ 1,40.69529,-74.026577
1 NEW YORK PLZ FL 25,40.702362,-74.011342
1 NEW YORK TIMES PLZ,40.776137,-73.830827
1 NORTH END AVENUE,40.714053,-74.016762
1 OLD FULTON STREET,40.702894,-73.994324
1 ORCHARD BEACH,40.86631,-73.79595
1 PACE PLAZA,40.711649,-74.005783
1 PARK ROW,40.711385,-74.008595
1 PENN PLAZA,40.751822,-73.992622
"1 PENNPLAZA E, PENN STA",40.750839,-73.999413
1 PENNSYLVANIA STATION (AMTRACK),40.750839,-73.999413
1 PROSPECT PARK WEST,40.672156,-73.970625
1 RANDALLS IS,40.793085,-73.922116
1 RANDALLS ISLAND,40.793085,-73.922116
1 RICHMOND TER # 1 STORE # 209,40.642355,-74.075202
1 RICHMOND TERRACE,40.642355,-74.075202
1 ROCKEFELLER PLAZA,40.757872,-73.979386
1 ROCKEFELLER PLZ SPC C,40.757872,-73.979386
1 RODMAN'S NECK ROAD,not found,not found
1 ST JAMES PLACE,40.689617,-73.965145
1 STATE STREET PLAZA,40.69529,-74.026577
1 STATION SQ,40.719263,-73.845266
1 SUTTER AVENUE,40.665255,-73.92308
1 TIME WARNER CTR FL 10TH,40.767691,-73.982191
1 TIMEWARNER CENTER,40.767691,-73.982191
1 U N PLAZA,40.752516,-73.972672
1 UNITED NATIONS PLZ FRNT 1,40.750427,-73.969593
1 UNIVERSITY PL,40.730777,-73.995461
1 UNIVERSITY PLAZA,40.691596,-73.981541
1 UNIVERSITY PLZ FL 1,40.691596,-73.981541
1 UNIVERSITY PLZ FL 1ST,40.691596,-73.981541
1 WALKER ST,40.720024,-74.005617
1 WALL STREET,40.707705,-74.011626
1 WALL STREET COURT,40.706013,-74.007407
1 WATER ST,40.703008,-73.994324
1 WATER STREET,40.702478,-74.012703
1 WEST 125 STREET,40.806454,-73.942277
1 WEST 13 STREET,40.735465,-73.99445
1 WEST 137 STREET,40.814192,-73.93702
1 WEST 182 STREET,40.857112,-73.904808
1 WEST 183 STREET,not found,not found
1 WEST 3 STREET,40.727888,-73.99489
1 WEST 54 STREET,40.761174,-73.975663
1 WEST 58 STREET,40.76369,-73.973561
1 WEST 88 STREET,40.786728,-73.968687
1 WEST FORDHAM ROAD,40.862808,-73.901482
1 WEST MT EDEN AVENUE,40.844419,-73.914892
1 WORLD FINANCIAL CENTER,40.711341,-74.015293
1 WORLD FINANCIAL CTR FL 38,40.711341,-74.015293
1 WORLD TRADE CENTER,40.711323,-74.014389
1 WORLDS FAIR MARINA,40.759188,-73.851626
10 5 AVENUE,40.732408,-73.996247
10 AKRON STREET,40.611511,-74.158193
10 AVENUE S,40.600356,-73.985527
10 CENTRE ST,40.843733,-73.788721
10 COLEMAN SQ,40.660389,-73.830574
10 COLUMBUS CIR FL 2,40.767735,-73.982265
10 COLUMBUS CIR FL 3,40.767735,-73.982265
10 COLUMBUS CIR FL 4,40.767735,-73.982265
10 COLUMBUS CIR FL 4TH,40.767735,-73.982265
10 COLUMBUS CIRCLE,40.767735,-73.982265
10 DOWNING STREET,40.729638,-74.002641
10 EAST 16 STREET,40.737181,-73.992324
10 EAST 21 STREET,40.740006,-73.98995
10 EAST 38 STREET,40.750639,-73.981991
10 EAST 39 STREET,40.751286,-73.981599
10 EAST 48 STREET,40.756869,-73.977156
10 EAST 52 STREET,40.759549,-73.97575
10 EAST CLARKE PLACE,40.838252,-73.91874
10 LIBERTY ST,40.707616,-74.008129
10 LITTLE WEST 12 STREET,40.739805,-74.006793
10 MONTGOMERY STREET,40.714102,-73.985276
10 MORTON STREET,40.731322,-74.003571
10 MURRAY STREET,40.713292,-74.00775
10 NEW DORP LN,40.575515,-74.119225
10 NEWKIRK PLZ FL 1,40.635525,-73.962805
10 PARK AVE,40.747386,-73.981258
10 PARK AVENUE,40.747386,-73.981258
10 PELL STREET,40.714728,-73.997551
10 ROCKEFELLER PLZ FL 10,40.758012,-73.97931
10 SOUTH WILLIAM STREET,40.704566,-74.010666
10 UNION SQ E,40.735007,-73.990025
10 VANDAM ST,40.726295,-74.004277
10 WAVERLY PLACE,40.73003,-73.994186
10 WEST 32 STREET,40.747411,-73.986144
10 WEST 4 STREET,40.728644,-73.994755
10 WEST 46 STREET,40.756223,-73.979514
10 WEST 50 STREET,40.758747,-73.977748
10 WEST BURNSIDE AVENUE,40.853826,-73.907801
100 1 AVENUE,40.726486,-73.9861
100 10 AVENUE,40.743652,-74.007096
100 7 AVENUE SOUTH,40.733052,-74.003147
100 BOWERY STREET,40.717698,-73.995193
100 CANAL ST,40.626543,-74.076832
100 CENTRAL PARK S,40.765927,-73.97686
100 CENTRE STREET,40.716048,-74.001438
100 CHAMBERS ST,40.714756,-74.007603
100 CHURCH STREET,40.712976,-74.009493
100 DEKALB AVE,40.68983,-73.978874
100 EAST 17 STREET,40.736451,-73.988802
100 EAST 53 STREET,40.758933,-73.972329
100 EAST 63 STREET,40.765285,-73.967694
100 EAST END AVENUE,40.773819,-73.945595
100 GOLD STREET,40.7104,-74.003961
100 GRAND ST,40.721387,-74.001707
100 HENRY STREET,40.697759,-73.992873
100 KENMARE STREET,40.72131,-73.997016
100 KINGSTON AVENUE,40.676215,-73.941538
100 KREISCHER ST,40.534951,-74.239528
100 LAFAYETTE STREET,40.717717,-74.001197
100 LEXINGTON AVE,40.742125,-73.982854
100 LONDON RD,40.582146,-74.133157
100 MAIDEN LANE,40.706865,-74.006972
100 MAIDEN LN,40.706865,-74.006972
100 MERRILL AVE,40.610195,-74.163007
100 MOORE STREET,40.703852,-73.94153
100 MOTT STREET,40.717307,-73.99745
100 NORTH PORTLAND AVENUE,40.695004,-73.976169
100 PARK AVENUE,40.750976,-73.978647
100 SECOND AVENUE,40.72724,-73.988641
100 ST MARKS PLACE,40.72739,-73.984835
100 STANTON STREET,40.721281,-73.987874
100 STUYVESANT PLACE,40.64362,-74.077427
100 UNIVERSITY PL,40.734062,-73.99268
100 WALL STREET,40.705008,-74.007151
100 WEST 143 STREET,40.819285,-73.93755
100 WEST 23 STREET,40.743022,-73.993124
100 WEST 33 STREET,40.749168,-73.988389
100 WEST 67 STREET,40.774267,-73.981256
100 WEST 72 STREET,40.777531,-73.979103
100 WEST 82 STREET,40.784022,-73.974374
100 WEST 83 STREET,40.784662,-73.973914
100 WEST HOUSTON STREET,40.727165,-74.000341
100 WILLIAM STREET,40.708494,-74.007479
100 WOODPOINT RD,40.718471,-73.940646
1000 3 AVENUE,40.761898,-73.966344
1000 5 AVENUE,40.778481,-73.962646
1000 BEDFORD AVENUE,40.690686,-73.95537
1000 CONEY ISLAND AVE,40.633182,-73.96704
1000 MADISON AVE FL 1ST,40.7752,-73.962959
1000 MORRIS PARK AVENUE,40.848131,-73.856163
1000 RICHMOND TERRACE,40.645353,-74.104222
1000 STILLWELL PL # 5,40.634671,-73.90334
1000 SURF AVENUE,40.575458,-73.977957
1000 WASHINGTON AVE,40.666819,-73.961652
1000 WESTCHESTER AVENUE,40.823684,-73.893792
10001 4 AVENUE,40.612747,-74.03371
100-02 103 AVENUE,40.683362,-73.84112
100-02 NORTHERN BOULEVARD,40.757344,-73.868345
10004 4 AVENUE,40.612758,-74.03373
100-05 METROPOLITAN AVENUE,40.710833,-73.853061
100-05 QUEENS BLVD,40.727086,-73.853431
10007 4 AVENUE,40.612642,-74.033793
100-09 ASTORIA BOULEVARD,40.762039,-73.869164
1000B EAST 46 STREET,40.63668,-73.93269
1001 3 AVENUE,40.761882,-73.966328
1001 6 AVENUE,40.751793,-73.986335
1001 BOARDWALK W,40.573148,-73.979905
1001 BRIGHTON BEACH AVENUE,40.578001,-73.95954
1001 NEWKIRK AVE FL 1,40.633766,-73.967058
1001 RUTLAND RD,40.662654,-73.926435
1001 TIFFANY STREET,40.823252,-73.894886
10010 ROCKAWAY BOULEVARD,40.679943,-73.839409
100-11 37 AVENUE,40.752569,-73.867081
100-11 ASTORIA BOULEVARD,40.762036,-73.869147
100-11 METROPOLITAN AVE,40.710772,-73.852682
100-12 QUEENS BOULEVARD,40.72674,-73.853687
100-13 FOSTER AVENUE,40.62788,-73.97591
100-14 NORTHERN BOULEVARD,40.757354,-73.868247
100-15 DITMARS BOULEVARD,40.770043,-73.870199
100-16 ROCKAWAY BEACH BOULEVARD,40.5838,-73.821253
100-18 4 AVENUE,40.681397,-73.980457
100-18 QUEENS BLVD,40.726721,-73.853635
1002 FLUSHING AVE,40.703757,-73.931198
1002 JAMAICA AVENUE,40.691023,-73.868795
100-21 QUEENS BLVD,40.72703,-73.853285
100-27 METROPOLITAN AVE,40.71075,-73.852552
100-28 QUEENS BOULEVARD,40.726689,-73.853548
1003 2 AVENUE,40.75684,-73.967098
1003 B SOUNDVIEW AVE FL 1,40.825016,-73.869955
1003 EAST 163 STREET,40.820981,-73.893155
10033 4 AVENUE,40.612219,-74.034131
1003A COLUMBUS AVENUE,40.801254,-73.961383
1004 2 AVENUE,40.756833,-73.967076
1004 4 AVENUE,40.653075,-74.005823
1005 2 AVENUE,40.756879,-73.96707
1005A MORRIS PARK AVE,40.848197,-73.856071
1006 EAST 233 STREET,40.890532,-73.848339
1007 2 AVENUE,40.756918,-73.967043
1007 ALLERTON AVE,40.865514,-73.858468
1007 CASTLETON AVE,40.634705,-74.115942
1007 CLARKSON AVE,40.658321,-73.924458
1007 LEXINGTON AVENUE,40.770653,-73.962026
1007 MORRIS PARK AVE,40.848221,-73.856017
1008 2 AVENUE,40.756945,-73.966996
1009 2 AVENUE,40.756957,-73.967015
1009 FLATBUSH AVE,40.646661,-73.958104
1009 MACE AVENUE,40.863056,-73.858578
1009 RUTLAND RD # 1,40.662777,-73.926243
100A 7 AVENUE SOUTH,40.733052,-74.003147
100A MARCUS GARVEY BOULEVARD,40.695419,-73.940512
100B FORSYTH ST,40.718271,-73.9929
101 2 AVENUE,40.727317,-73.988613
101 AVENUE A,40.725739,-73.983774
101 BARCLAY ST,40.713705,-74.011793
101 BROAD ST,40.703366,-74.011572
101 CITY ISLAND AVE,40.840687,-73.784058
101 DITMAS AVE,40.635548,-73.978064
101 EAST 161 STREET,40.827493,-73.924311
101 EAST 170 STREET,40.839531,-73.915842
101 EAST 69 STREET,40.769048,-73.96493
101 FOREST PARK DRIVE,40.696889,-73.862889
101 FULTON STREET,40.709613,-74.006519
101 LEXINGTON AVE FRNT 1,40.742167,-73.982796
101 MAIDEN LANE,40.706971,-74.007078
101 MONTAGUE ST,40.69507,-73.995279
101 MURRAY STREET,40.714991,-74.011695
101 PARK AVENUE,40.750817,-73.978456
101 RALPH AVENUE,40.686625,-73.923444
101 RIVINGTON STREET,40.720036,-73.98824
101 ST MARKS PLACE,40.727417,-73.984845
101 UNIVERSITY PL,40.734004,-73.992701
101 WEST 118 STREET,40.80349,-73.949082
101 WEST 23 STREET,40.743038,-73.993108
101 WEST 25 STREET,40.744318,-73.992168
101 WEST 55 STREET,40.763085,-73.97826
101 WEST 68 STREET,40.774928,-73.980818
101 WEST 75 STREET,40.779498,-73.977668
101 WEST 78 STREET,40.781878,-73.977402
101 WEST KINGSBRIDGE ROAD,40.868372,-73.901412
1010 AVENUE L,40.619875,-73.965063
1010 CLARKSON AVENUE,40.658335,-73.924394
1010 NOSTRAND AVE,40.663796,-73.950948
101-01 QUEENS BOULEVARD,40.726659,-73.852347
101-02 103 AVENUE,40.683532,-73.840517
101-02 QUEENS BOULEVARD,40.726403,-73.852781
101-05 QUEENS BLVD FL 1ST,40.726644,-73.852316
101-06 88 STREET,40.682405,-73.851807
1011 3 AVENUE,40.76226,-73.966057
1011 6 AVENUE,40.752037,-73.986159
1011 BEDFORD AVE,40.689344,-73.955091
1011 BROADWAY,40.695838,-73.933195
1011 COLUMBUS AVENUE,40.80129,-73.961356
1011 FULTON STREET,40.68235,-73.961465
1011 MADISON AVE,40.775727,-73.962551
1011 WESTCHESTER AVENUE,40.824069,-73.893099
1011 WHITE PLAINS RD,40.826903,-73.86001
101-10 43 AVENUE,40.746949,-73.863533
10110 FOSTER AVENUE,40.650453,-73.902385
101-10 QUEENS BOULEVARD,40.726381,-73.85273
101-103 ORIENTAL BOULEVARD,40.576931,-73.952804
101-105 LAFAYETTE STREET,40.717733,-74.001152
101-11 NORTHERN BOULEVARD,40.757467,-73.8673
101-11 QUEENS BOULEVARD,40.726623,-73.85227
101-16 QUEENS BOULEVARD,40.726364,-73.85269
101-19 QUEENS BOULEVARD,40.726594,-73.852208
10119 ROCKAWAY BEACH BOULEVARD,40.583456,-73.821928
1012 2 AVENUE,40.757057,-73.966916
1012 EAST 15 STREET,40.62469,-73.961303
101-23 QUEENS BLVD,40.726579,-73.852177
1013 6 AVENUE,40.752086,-73.986124
1013 AVENUE H,40.62946,-73.966881
1013 SUTTER AVE,40.671398,-73.881517
1014 FLATBUSH AVENUE,40.646303,-73.958106
1014 FULTON STREET,40.682073,-73.960224
1014 LONGWOOD AVE,40.816602,-73.896719
1014A NOSTRAND AVENUE,40.663684,-73.950938
1015 2 AVENUE,40.757073,-73.966932
1015 6 AVENUE,40.752135,-73.986089
1015 ALLERTON AVE,40.865511,-73.858346
1015 AVENUE H,40.629462,-73.966865
1015 EAST 163 STREET,40.820985,-73.892409
1015 EAST 167 STREET,40.826771,-73.889202
1015 FULTON STREET,40.682322,-73.961329
1015 MANHATTAN AVENUE,40.733588,-73.954823
1016 CONEY ISLAND AVE,40.632747,-73.966909
1016 LEXINGTON AVE,40.770834,-73.961923
1017 CASTLE HILL AVENUE,40.828143,-73.850175
1017 FOSTER AVENUE,40.632112,-73.967145
1017 MANHATTAN AVE,40.733636,-73.954831
1018 AMSTERDAM AVE,40.803153,-73.963748
1019 MCDONALD AVENUE,40.628787,-73.976754
101B DYCKMAN ST,40.861725,-73.924803
102 1 AVENUE,40.726537,-73.986063
102 5 AVENUE,40.736975,-73.992923
102 8 AVENUE,40.740528,-74.001948
102 BOWERY,40.717752,-73.99516
102 EAST 22 STREET,40.739376,-73.986524
102 LEXINGTON AVENUE,40.742174,-73.982818
102 LINCOLN AVE FL 1ST,40.579762,-74.109392
102 MACDOUGAL ST,40.729318,-74.001043
102 MOTT STREET,40.717367,-73.997412
102 NORFOLK ST FL 1,40.718692,-73.987197
102 NORFOLK STREET,40.718692,-73.987197
102 NORTH END AVENUE,40.714779,-74.016181
102 PRESIDENT STREET,40.683573,-74.002873
102 SAINT MARKS PLACE,40.727377,-73.984804
102 SARATOGA AVE,40.683212,-73.917248
102 SUFFOLK ST FRNT NORTH,40.714596,-73.984165
102 WEST 145 STREET,40.820602,-73.936653
102 WEST 73 STREET,40.77824,-73.97865
102 WEST 86 STREET,40.786631,-73.972539
1020 6 AVENUE,40.75239,-73.985877
1020 AMSTERDAM AVE,40.803193,-73.963719
1020 EAST 48 STREET,40.636687,-73.930728
1020 LEXINGTON AVE,40.770957,-73.961834
1020 TIFFANY STREET,40.824191,-73.894856
102-01 37 AVENUE,40.753045,-73.865285
102-02 43 AVENUE,40.747234,-73.862576
102-02 ATLANTIC AVENUE,40.689864,-73.842556
102-02 NORTHERN BOULEVARD,40.757543,-73.866449
102-02 ROOSEVELT AVENUE,40.749713,-73.863951
102-03 JAMAICA AVENUE,40.695172,-73.845123
102-03 NORTHERN BOULEVARD,40.757559,-73.866465
102-03 ROOSEVELT AVENUE,40.749729,-73.863967
102-03A 44 AVENUE,40.748154,-73.857073
102-04 JAMAICA AVENUE,40.695156,-73.845135
102-05 DITMARS BOULEVARD,40.768927,-73.868362
102-06 43 AVENUE,40.747255,-73.862505
102-06 ATLANTIC AVENUE,40.68988,-73.842501
1021 3 AVENUE,40.762512,-73.965873
1021 6 AVENUE,40.752406,-73.985893
1021 CHURCH AVENUE,40.646698,-73.970052
1021 OGDEN AVENUE,40.833576,-73.929026
102-10 METROPOLITAN AVE,40.710442,-73.850748
102-104 AVENUE C,40.723927,-73.978956
102-104 MOTT STREET,40.717367,-73.997412
102-11 QUEENS BLVD FL 1,40.725891,-73.851006
102-11 SPRINGFIELD BOULEVARD,40.713922,-73.735711
102-12 101 AVENUE,40.685783,-73.84058
102-14 JAMAICA AVE FL 1,40.695171,-73.844887
102-14 ROOSEVELT AVENUE,40.749729,-73.863812
102-15 METROPOLITAN AVENUE,40.710453,-73.850702
102-16 43 AVENUE,40.747308,-73.862327
1022 3 AVENUE,40.762579,-73.965852
1022 AVENUE P,40.609893,-73.963077
1022 MADISON AVE,40.77607,-73.962327
1022 ROSSVILLE AVE,40.551648,-74.211896
102-21 ROOSEVELT AVENUE,40.749754,-73.863758
10223 ROOSEVELT AVENUE,40.755375,-73.843109
102-23B HORACE HARDING EXPRESSWAY,40.752161,-73.853405
102-24 JAMAICA AVENUE,40.695161,-73.844821
102-25 JAMAICA AVENUE,40.695183,-73.844459
102-27 ROOSEVELT AVENUE,40.749762,-73.863689
1022A LEXINGTON AVENUE,40.771018,-73.961789
1023 LAFAYETTE AVENUE,40.692191,-73.931253
1023 OGDEN AVENUE,40.833625,-73.928999
102-30 QUEENS BOULEVARD,40.725356,-73.851065
102-39 QUEENS BLVD,40.725565,-73.85061
1024 1 AVENUE,40.757723,-73.963334
1024 2 AVENUE,40.757504,-73.966595
1024 AMSTERDAM AVE,40.803273,-73.963661
1024 LONGWOOD AVENUE,40.816435,-73.896446
1024 MORRIS PARK AVENUE,40.8485,-73.855353
102-40 DITMARS BOULEVARD,40.768656,-73.868206
1025 BOARDWALK W,40.573131,-73.980062
1025 EAST 163 STREET,40.820992,-73.891958
1025 MANHATTAN AVE,40.733965,-73.954887
102-53 43 AVENUE,40.747514,-73.861704
102-55 QUEENS BOULEVARD,40.725464,-73.850502
102-59 JAMAICA AVE,40.695198,-73.843341
1026 3 AVENUE,40.762679,-73.965778
1026 CASTLE HILL AVENUE,40.828265,-73.850186
1026 CONEY ISLAND AVE,40.632564,-73.966853
1026 FIRST AVENUE,40.757772,-73.963299
1026 NOSTRAND AVENUE,40.663372,-73.95091
1026 ROSSVILLE AVE,40.551725,-74.211925
102-61 JAMAICA AVENUE,40.695198,-73.843324
1028 3 AVENUE,40.76273,-73.965741
1028 BEACH 20 STREET,40.602916,-73.753192
1028 NOSTRAND AVENUE,40.66332,-73.950906
1029 BRIGHTON BEACH AVENUE,40.578207,-73.958657
1029 EAST 167 STREET,40.82677,-73.888696
103 1 AVENUE,40.726621,-73.98603
103 2 AVENUE,40.727497,-73.988484
103 3 AVENUE,40.732451,-73.987782
103 AVENUE A,40.725797,-73.98373
103 BERRY ST,40.719088,-73.958483
103 EAST 125 STREET,40.804912,-73.938669
103 EAST BROADWAY,40.713816,-73.992928
103 EMPIRE BLVD,40.663435,-73.95867
103 FEATHERBED LANE,40.846195,-73.91856
103 GRAHAM AVE,40.705272,-73.942867
103 GREENWICH AVENUE,40.737755,-74.001819
103 LEXINGTON AVE FRNT 1,40.742222,-73.982756
103 MACDOUGAL STREET,40.729611,-74.000829
103 NORTH 3 STREET,40.71679,-73.962075
103 STUYVESANT AVE FL 1,40.692006,-73.933842
103 WASHINGTON ST,40.708434,-74.014283
103 WAVERLY PL LBBY,40.732349,-73.998848
103 WAVERLY PLACE,40.732349,-73.998848
103 WEST 14 STREET,40.73763,-73.99746
103 WEST 70 STREET,40.776235,-73.980019
103 WEST 72 STREET,40.777566,-73.979132
103 WEST 77 STREET,40.780787,-73.976783
1030 2 AVENUE,40.757641,-73.966494
1030 AMSTERDAM AVE,40.803393,-73.963574
1030 MANHATTAN AVE,40.734075,-73.954887
103-01 METROPOLITAN AVENUE,40.710312,-73.849863
103-02 ROOSEVELT AVENUE,40.749495,-73.862703
103-02 SPRINGIELD BOULEVARD,40.713218,-73.735834
103-05 37 AVENUE,40.7533,-73.864327
103-06 LIBERTY AVENUE,40.681699,-73.837659
